0	2171	2583
1	1820	550
2	745	1914
3	2596	2080
4	1218	225
5	355	1400
6	2499	2045
7	1535	425
8	510	1751
9	2212	2610
10	1303	235
11	774	1194
12	2587	2516
13	1605	434
14	599	1657
15	2932	2024
16	1958	372
17	993	1934
18	2924	2771
19	1035	211
20	385	1547
21	2723	2203
22	1607	757
23	863	1517
24	2333	2423
25	1155	560
26	54	1388
27	2731	2652
28	1770	410
29	183	1519
30	2469	2335
31	1266	619
32	254	1356
33	2875	2207
34	1430	94
35	47	1688
36	2775	2015
37	1238	426
38	610	1454
39	2810	2549
40	1161	317
41	937	1376
42	2121	2106
43	1924	419
44	408	1400
45	2452	2221
46	1588	141
47	14	1159
48	2347	2583
49	1452	726
50	560	1928
51	2856	2585
52	1477	723
53	826	1691
54	2605	2970
55	1459	246
56	899	1045
57	2452	2503
58	1859	90
59	264	1137
60	2275	2956
61	1773	494
62	153	1317
63	2112	2038
64	1851	556
65	823	1540
66	2742	2948
67	1309	863
68	200	1168
69	2856	2510
70	1926	733
71	790	1365
72	2237	2444
73	1069	805
74	636	1612
75	2537	2336
76	1453	471
77	140	1334
78	2163	2328
79	1705	29
80	775	1572
81	2813	2628
82	1801	210
83	277	1929
84	2499	2841
85	1487	610
86	703	1582
87	2691	2995
88	1689	189
89	733	1718
90	2231	2992
91	1636	936
92	946	1160
93	2371	2668
94	1507	792
95	46	1087
96	2530	2241
97	1465	672
98	990	1147
99	2092	2122
100	1429	872
101	474	1344
102	2100	2176
103	1780	294
104	984	1111
105	2601	2654
106	1088	747
107	467	1345
108	2190	2642
109	1958	444
110	162	1716
111	2636	2730
112	1562	841
113	781	1608
114	2266	2723
115	1633	612
116	569	1604
117	2097	2973
118	1824	732
119	42	1391
120	2708	2198
121	1090	76
122	894	1944
123	2912	2913
124	1187	415
125	151	1830
126	2067	2538
127	1892	679
128	396	1729
129	2542	2207
130	1659	311
131	221	1275
132	2901	2528
133	1202	813
134	873	1858
135	2708	2911
136	1349	173
137	603	1589
138	2235	2219
139	1820	472
140	706	1969
141	2827	2795
142	1484	666
143	816	1538
144	2737	2569
145	1064	593
146	921	1805
147	2554	2567
148	1471	567
149	94	1895
150	2970	2582
151	1443	221
152	647	1772
153	2469	2954
154	1907	342
155	268	1952
156	2631	2974
157	1725	649
158	426	1582
159	2684	2152
160	1670	775
161	280	1189
162	2308	2784
163	1843	474
164	265	1525
165	2037	2830
166	1814	762
167	680	1039
168	2034	2362
169	1789	124
170	579	1711
171	2744	2079
172	1032	283
173	907	1630
174	2108	2453
175	1170	795
176	683	1557
177	2895	2767
178	1667	865
179	318	1314
180	2059	2716
181	1884	71
182	764	1625
183	2436	2364
184	1166	293
185	407	1604
186	2227	2454
187	1814	986
188	121	1376
189	2377	2573
190	1880	619
191	714	1968
192	2713	2278
193	1716	67
194	842	1109
195	2700	2204
196	1769	520
197	246	1912
198	2929	2113
199	1736	976
200	283	1788
201	2288	2163
202	1930	909
203	232	1450
204	2892	2364
205	1300	656
206	498	1869
207	2491	2985
208	1897	614
209	889	1187
210	2805	2671
211	1927	760
212	582	1079
213	2805	2022
214	1214	175
215	238	1340
216	2422	2425
217	1389	999
218	304	1335
219	2143	2385
220	1022	825
221	373	1577
222	2268	2698
223	1216	372
224	162	1452
225	2492	2832
226	1857	433
227	685	1833
228	2950	2381
229	1037	428
230	358	1211
231	2081	2329
232	1496	530
233	347	1035
234	2829	2127
235	1608	392
236	356	1246
237	2911	2502
238	1834	42
239	655	1515
240	2115	2697
241	1964	260
242	454	1878
243	2865	2889
244	1002	352
245	422	1569
246	2180	2405
247	1097	10
248	825	1639
249	2677	2020
250	1621	595
251	433	1725
252	2781	2449
253	1415	933
254	810	1728
255	2450	2361
256	1801	145
257	778	1348
258	2235	2473
259	1557	320
260	64	1282
261	2690	2331
262	1953	325
263	257	1797
264	2350	2660
265	1326	775
266	5	1746
267	2534	2448
268	1330	759
269	126	1302
270	2511	2037
271	1208	206
272	342	1639
273	2595	2663
274	1533	745
275	496	1011
276	2776	2090
277	1983	947
278	586	1014
279	2563	2992
280	1013	49
281	739	1936
282	2922	2468
283	1560	490
284	644	1247
285	2597	2945
286	1673	904
287	72	1226
288	2312	2365
289	1379	645
290	392	1041
291	2474	2464
292	1885	722
293	279	1515
294	2864	2166
295	1913	400
296	659	1581
297	2598	2272
298	1846	751
299	611	1257
300	2527	2639
301	1244	327
302	997	1831
303	2132	2624
304	1133	812
305	200	1527
306	2613	2033
307	1306	440
308	162	1104
309	2998	2106
310	1608	300
311	560	1145
312	2757	2615
313	1635	536
314	72	1752
315	2495	2668
316	1633	47
317	346	1196
318	2175	2594
319	1207	881
320	717	1393
321	2745	2273
322	1234	466
323	394	1021
324	2456	2599
325	1047	269
326	76	1025
327	2912	2020
328	1120	594
329	221	1022
330	2642	2773
331	1988	403
332	951	1434
333	2524	2189
334	1076	115
335	72	1825
336	2896	2046
337	1952	343
338	693	1853
339	2661	2290
340	1581	247
341	218	1795
342	2308	2821
343	1200	524
344	407	1563
345	2288	2152
346	1836	549
347	626	1385
348	2095	2514
349	1019	5
350	721	1050
351	2147	2482
352	1007	60
353	360	1960
354	2128	2032
355	1022	817
356	918	1901
357	2820	2144
358	1630	748
359	878	1011
360	2129	2941
361	1608	37
362	924	1175
363	2352	2571
364	1533	628
365	494	1288
